ID,MX2_WI_SEASON,MX2_WI_SEASON_INFO,MX2_WI_SEASON_TYPE,MX3_CONT_INT,MX3_CONT_INT_INFO,MX4_WFREQ,MX4_WFREQ_INFO,MX4G_WFREQ_AWAR,MX4G_WFREQ_AWAR_INFO,MX5_WFREQ_NDAYS,MX5_WFREQ_NHRS,MX5_WFREQ_HRS/DAY,MX5_WFREQ_HRS/WEEK,MX5_WFREQ_HRS_INFO,MX5_WFREQ_HRS_INFO2,MX6_WPRESS,MX6_WPRESS_INFO,NOTES
59,semana santa,"nunca les falta. solo tamblos--> 1 mes, 2017--> cisterna les abasteció. semana santa, cuando desperdician agua son vacaciones ponen albercas en calle",,Intermitente,,diario,,,,7,3-4,3-4/7,24.5,"3-4 hrs todos días. Llave esta abierta, llena automatico tinaco y cisterna. Automatico se cierra",3-4 hrs todos días,Sí,,
60,"semana santa, marzo, abril","marzo-abril, semana santa. diario, x menos tiempo",,Intermitente,,diario,,,,7,8-8.5,8-8.5/7,57.75,7:30~8am hasta 4pm,7:30~8am hasta 4pm,Sí,,
61,"época de calor, abril, mayo",calor. la reducen. abril-mayo,,Intermitente,,diario,,,,7,4,4/7,28,8am-12pm,8am-12pm; diario,Sí,,
62,"semana santa, abril",abril x sem santa avisan,,Intermitente,,diario,,,,7,6,6/7,42,todos los días (6:00-12:00),todos los días (6:00-12:00),Sí,se debe realizar antes de las 12:00,
63,"abril, arreglos/mantenimiento",abril x servicios de mantenimiento. les avisa,,Intermitente,,diario,,,,7,5,5/7,35,diario 7:00-12:00,diario 7:00-12:00,Sí,,
64,"abril, arreglos/mantenimiento","abril, por mantenimiento. aveces les avisan, otras no",,Intermitente,,diario,,,,7,?,4/7,,diario por la mañana,diario por la mañana,Sí,,
65,"abril, mayo",porque barias días no llego,,Intermitente,,4 a 6 días a la semana,,,,"4, 5, 6",3,3/4-6,15,días variados (no constante) 3 hrs (8-11am),días variados (no constante) 3 hrs (8-11am),No,porque no tiene mucha presión o llego muy sucia / calor cafe o amarilla olor feo,
66,"época de calor, mayo",rompiarento tuberia ?,,Intermitente,,diario,,,,7,6,6/7,42,"diario, en las mañanas (5am-11am)","diario, en las mañanas (5am-11am)",Sí,,
67,abril,,,Intermitente,,diario,,,,7,6/7,6/7,42,todos los días de 6am-11am y de 6pm-7pm,todos los días de 6am-11am y de 6pm-7pm,Sí,,
68,"marzo, abril, mayo",marzo-mayo,,Intermitente,,diario,,,,7,3,3/7,21,"diario, de 8am-11am","diario, de 8am-11am",Sí,,
69,"julio, agosto, septiembre, octubre, noviembre, diciembre",julio-diciembre,,Intermitente,,1 a 3 días a la semana,,,,4,24,24/4?,48,"miercoles a sabado las 24 hrs del día, despues de ello durante 2 semanas no hay agua.","miercoles a sabado las 24 hrs del día, despues de ello durante 2 semanas no hay agua.",Sí,,"24x4=96 hrs | 96x2=192 | 192/4=48 hrs per wk (4 wks total, 2 wks w/o water)"
70,junio,,,N/A,,1 a 3 días a la semana,,,,2,2.5,2.5/2,5,"cae cada tercer día, de 8-10:30 am.","cae cada tercer día, de 8-10:30 am.",Sí,,
71,N/A,"no escasea, la ultima vez fue en el temblar del 2017, la quitaron x una semana.",,Continua,,diario,,,,7,24,24/7,168,diario 24/7,diario 24/7,Sí,,
72,N/A,no escasea siempre hay,,Continua,,diario,,,,7,24,24/7,168,24/7,24/7,Sí,,
73,"feb, marzo",feb-mar--cae menos,,Intermitente,,diario,,,,7,5,5/7,35,8 a 1 --> 5 hrs,8 a 1 --> 5 hrs; diario,Sí,,
74,N/A,regular cuando hacen reparaciones. siempre les avisan antes. todo el año misma agua,,Intermitente,,diario,,,,7,4,4/7,28,8am-12pm--no cambia,8am-12pm--no cambia; diario,Sí,pot la cisterna. sacan agua de ahí,
75,"época de calor, mayo, junio",,,Intermitente,,N/A,,,,N/A,?,?,N/A,hace 4 días que no cae. o no es predecible la hora,hace 4 días que no cae. o no es predecible la hora,N/A,"cuando empieza a caer no. 3er día ya sube sola. si no, tienen bomba",no es predecible la hora
76,marzo,"marzo, deja de haver (viernes en la noche hasta el dgo). usual% siempre hay agua",,Continua,,diario,,,,7,24,24/7,168,,continua diario,Sí,no es necesario el usa de la bomba para subir agua,
77,"época de calor, época seca, marzo","casi lo mismo todo el año. marzo, cuando hay calor y sequía. // tarda en llenarse pileta menos presión",,Intermitente,,diario,,,,7,24,24/7,168,siempre,siempre,Sí,sube sola,
78,N/A,no hay un mes especifico porque tienen cisterna y no se percibe.,,Continua,,diario,,,,7,24,24/7,168,,24/7,Sí,debido a cisterna,
79,N/A,"ninguno--pero hay poca presión. plaza comercial (3,4 años)",,Continua,,diario,,,,7,24,24/7,168,24/7,24/7,No,solo por las mañanas o en las noches (7:00-9:00) (22:00-23:00) hay mejor presión,
80,N/A,igual. A veces anuncian q no habrá agua--no les ha tocado un corte,,Continua,,diario,,,,7,24,24/7,168,todo el día. llega agua--se llena una pileta--> siempre ha estado--> tuberia-->tinaco-->llaves,todo el día. diario,Sí,,
81,arreglos/mantenimiento,solo cuando hacen arreglos--bomba-unidad//,,continua,si flata no se dan cuenta,diario,,,,7,24,24/7,168,24/7,,Sí,no llega con tanta presión,
82,"semana santa, abril",abril--celebración semana santa-> gente guarda cubetas y juegan igual--> avisan que la van a quitar un par de días en esa semana,,intermitente,2-3 días (sem sta),diario,,,,7,24,24/7,168,todo el día,constante (check intermitente),Sí,constante,
83,"abril, mayo",,,continua,"diario, baja la presión--> no afecta que hace diario",diario,,,,7,24,24/7,168,todo el día,continua,Sí,,
84,"primavera, verano, semana santa, julio",primavera-verano//semana santa y julio. a veces les cortan o sigue cayendo,,intermitente,"9-11am, luego durante la tarde llega menos, en la noche ya no cae",diario,,,,7,24,24/7 ,168,24/7 (preg 4: diario),,No,"baja presión, casi no se puede usar regadera, siempre
hay 2 tinacos en primer piso-->sube--> llave agua 2do piso--> falta 
baja--> planta baja // para otras cosas esta bien",
85,N/A,no. nunca había faltado (-->un año y medio). estaba condonada. cuando cambiaron tubos y ahí empezó a faltar. (adaptación),,intermitente,llave--> pilancón--> tinaco--> llaves,4 a 6 días a la semana,,,,6,24,24/6,144,miércoles no cae. otros días todo el día,miércoles no cae. otros días todo el día,Sí,,
86,"semana santa, marzo, abril",,,continua,varía la presión,diario,,,,7,24,24/7,168,24/7 pero varia la presión. En la noche hay más presión. Como al medio día hay menos presión porqye es el horario en donde se red(?) más (?).,varia la presión,Sí,,
87,"semana santa, marzo","usual% siempre hay reduccion en este mes por día santa, a veces cortan(?) otras no.",,intermitente,2-3 veces por sem (6-9am) siempre a sido asi,1 a 3 días a la semana,,,,3,3,3/3,9,"lunes, martes y viernes de 6-9 am. Fuera de este horario cae a gota.","lunes, martes y viernes de 6-9 am. Fuera de este horario cae a gota.",Sí,pero debe aprovechar temprano,
88,agosto,"viven en una unidad y les obastece (?) una cisterna, en este mes hubo un problema con ella y se quedaron sin agua x +- 1 mes",,continua,,diario,,,,7,24,24/7,168,24/7,,No,"a veces la presión es muy baja, en la tarde, por las mañanas hay mayor presión. En la tarde es muy poco (chorrito).",
89,"feb, arreglos/mantenimiento","febrero, estaban arreglando una tuberia y bajó la presión, pero nunca hubo interrupción en el suministro",,continua,,diario,,,,7,24,24/7,168,24/7,preg 5 24/7,Sí,,
90,septiembre,sep llego a no haber suministro y se tuvo que llamar (?) una pipa,,continua,en las noches la llegan a quitar,diario,,,,7,24,24/7 ,168,24/7 ,24/7,Sí,necesitan una bomba para subir el agua al tercer nivel con donde vive,
91,marzo,"marzo, en manana cae, pero en la tarde ya no",,continua,varia la presión,diario,igual hay variacion en la presión,,,7,24,24/7,168,24/7 pero hay variación en la presión,variación en la presión,No,"llega en la mañana con mayor presión, a las 10:00 ya no hay buena presión. En la tarde hay (muy poca), pero no deja de haber.",
92,N/A,"no recuerda, pero si hubo alguna epoca donde bajo la presion pero no dejo de haber",,continua,,diario,,,,7,24,24/7,168,24/7 continua la misma presión todo los días a toda hora,preg 5,Sí,,
93,"feb, marzo, arreglos/mantenimiento","feb-marzo porque arreglaron tuberias, les avisan. Tratan de no lavar ropa en esos días. tardarse mucho tiempo al bañarse (?)",,continua,,diario,,,,7,24,24/7,168,24/7 en la noche puede ser que haya menos presión. En la mañana es cuando hay más presión,preg 5,Sí,,
94,abril,abril--baja un poco. sigue llegando. llega menos,,continua,tienen pileta. siempre que abre sale agua. tb va directo al baño. desde la toma,diario,,,,7,24,24/7,168,24/7,preg 5,Sí,,
95,marzo,marzo--llego a la toma que estaba más cerca al pozo y era muy poca,,intermitente,hay veces que llega y otros no. incluso llego a haber un año en donde no hubo nada de agua,diario,,,,7,confirm,?/7,N/A,"check preg 3, 4, y 5. diario pero no dice horas","check preg 3, 4, y 5. diario pero no dice horas",No,porque si algun otro familiar abre otro toma de agua d servicio se interrumpe,"solo dice diario, no hrs"
96,"feb, marzo",,,N/A,se les va x 3 hrs (xq lava o hace de comer o bañarse) el día ~ no es predecible. perciben que falta. tienen tinaco y cisterna,diario,,,,7,24,24/7,168,24/7 ,,Sí,cuando se va hay baja presión--> agua sube c/bombas,
97,N/A,normal% noche llega más--> llenan todo //siempre igual,,continua,,diario,,,,7,24,24/7,168,24/7 continua diairo,24/7 continua diairo,Sí,,
98,N/A,"fds llega poca, o domingos no llega. mitad q comparado c/otros años. antes sucia con poca presion, ya no (adaptacion)",,continua,nunca les falta. pero disminuye. cae muy poquita,diario,,,,7,24,24/6 + 16/1?,160,"24/7, excepto dgo-por un par de horas. A veces mañana sí, noche no. o al reves","24/7, excepto dgo-por un par de horas. A veces mañana sí, noche no. o al reves",No,"A raíz de mucho const(?)--condominios c/cisterna quitan mucha agua. A veces(-->directo toma principal) no. 5 días, 3 bien y 2 cae chorrito. Hay que empezar agua se llena de mucho para enjuagar. O no se llena y hay que hacerlo manual.",24x6 + 16x1=160
99,época de calor,"en epoca de calor, les avisan. Ella almacena agua en la cisterna",,intermitente,hay dias en las que llega por la manana (11:00-18:00). no hay antes de las 11 hay. despues de las 18 hay,N/A,diario,,,7,17,17/7,119,diario 18:00-11:00 (see preg 3 too),diario 18:00-11:00 (see preg 3 too),Sí,,
100,agosto,,,continua,poca pero siempre llega. tarde 2-3 pm--> disminuye // noche --> normal. saver q siempre hay xq están chequeando,diario,,,,7,24,24/7,168,24/7,preg 3 y 5 ,Sí,"cuando baja, no puede lavar ropa, bañarse",
101,semana santa,semana santa (reducen la presión del agua) sí les avisan,,intermitente,en la tarde como de 14:0-18:00. De repente se va el agua pero no hay un horario fijo en donde haya o no,diario,pero a rotes,,,7,~20,~20/7,140,+- Diario 20 horas en un día si hay agua y otro no,preg 5:+- Diario 20 horas en un día si hay agua y otro no (ver preg 3 y 4 tb),No,"porque no es suficiente para realizar las actividades cotidianas, es muy poca.",
102,"marzo, abril",marzo-abril (llego 1-2 veces a la semana). No supieron porque. Lo reportan pero no hicieron cosa.,,continua,"a excepcion de marzo-abril que no llego, despues de esos meses ha llegado de manera continua",diario,lo que varia es la presión. hay mas en la noche,,,7,24,24/7,168,"lunes, miercoles, y jueves hay mayor presión. Los otros dias es menos la presión (todos los días hubo)","continua; lunes, miercoles, y jueves hay mayor presión. Los otros dias es menos la presión (todos los días hubo)",Sí,casi no estan en casa porque son comerciantes,
103,agosto,"ago, reduccion flojo, viven en una casa de dos pisos y si suben en cmbo pisos solo en una colg agua",,continua,,diario,,,,7,24,24/7,168,24/7,,Sí,pero hay que hacer una actividad a la vez porqye se llega a reducir el flojo si se hacen dos,
104,"abril, mayo",abril-mayo-bajo la presión. desconoce(?),,continua,,diario,,,,7,24,24/7,168,24/7,,Sí,,
105,"semana santa, abril",abril (sem santa)--bajan la presión. no les avisan,,continua,cisterna todos los condominios tienen cisterna,diario,,,,7,24,24/7,168,24/7,,Sí,usted vive en el 3er piso y si alguien de abajo realiza alguna actividad que involucra agua no puede hacer cosa (no simultaneo),
106,"semana santa, abril",abril--les cortan el agua en semana santa,,continua,,diario,,,,7,24,24/7,168,diario pero llega con poca presion,continua; diario pero llega con poca presion,Sí,usa calcetines en la llave,
107,noviembre,nov--falta más el agua,,intermitente,1 o 2 días a la sem no tienen agua. 5 días a la sem sí hay pero con poca presión.,4 a 6 días a la semana,,,,5,24,24/5,120,"5 días hay agua, todo el día con baja presión","5 días hay agua, todo el día con baja presión",No,en las mañanas--tardes hay muy poca presión no pueden hacer nada. Lo dejan para la noche que hay mayor presión.,
108,"semana santa, marzo, abril, mayo, junio",marzo-abril. En semana santa les cortan el agua hasta un mes. Mayo-junio. Baja el suministro,,intermitente,al día solo cae en la noche con más presión. Aproximadamente 3/4 horas al día. Hay días en que no cae. En la ult semana no hubo agua 2 días,4 a 6 días a la semana,,,,"5, 6",3-4,3-4/5-6,19.25,3/4 horas al día 5/6 días a la semana,3/4 horas al día 5/6 días a la semana,Sí,,
109,"verano, semana santa, marzo",,,intermitente,"c/2 o 3 días--> 2 o 3 hrs x día, usual% en la madrugada--> esta despierta",4 a 6 días a la semana,cada 2 días (so probably 3-4 days),,,"3, 4",2-5,3-4/4-5 ?,15.75,"cada 2 días, 4-5 horas x día-- 5am-9am","preg 3: c/2 o 3 días --> 2 o 3 horas x día, usual% en la madrugada
preg 5: cada 2 días, 4-5 horas x día-- 5am-9am",Sí,,
110,semana santa,"ss--cortan el agua. resto del año, estable",,continua,"sí, llave siempre esta llenando cisterna. Tiene flotador, se cierra sola.",diario,,,,7,24,~24/7,168,"aveces deja de llegar, baja presión, mucha (?). se avisan si va a lavar, para asegurar agua para otros. tienen que lavar dias distintos",continua,No,mucha gente,a veces deja de llegar
