SampleID,MonthIntenseScarcity,Comm_MonthIntsenseScarcity,ScarcirtyType,ContinIntermit,Comm_ContinIntermit,FreqSupply4weeks,Comm_FreqSupply4weeks,AwarenessCutoffs,Comm_AwarenessCutoffs,NumDaysSupply,NumHrsDaySupply,HrsDaySupply_FIX,HrsWaterWeek,Comm_supply,Comm_HrsSupply,SufficientWPressure,Comm_SuffWPressure,Comm_general
11,abril,,,Intermitente,1 vez al mes--1 dia (9am-9pm),1 a 3 dias a la semana,,,,1,20,20/1,20,lunes-20 hrs-constante,lunes-20 hrs; 1-3 days,Yes,,
12,N/A,ninguno,,Intermitente,6:00-17:00,diario,,,,7,11,7-Nov,77,lunes-dgo * 6:00-17:00 en la mañana hay más presión,lunes-dgo * 6:00-17:00 en la mañana hay más presión,Yes,,
13,"época de calor, marzo, abril","marzo, abril, en epoca de calor se ha llegado a ir completamente",,Intermitente,"sabado, domingo, y miercoles 8:00-15:00--> mayor presión en las ultimas dos horas. flujo es poca",1 a 3 dias a la semana,,,,3,7,3-Jul,21,"sabado, dgo, miercoles","sabado, dgo, miercoles; 8:00-15:00",Yes,,
14,"marzo, abril, mayo",,,Intermitente,todos los dias mañana 8-11:00 am con mayor presión,diario,,,,7,3,7-Mar,21,mañanas 8-11:00am,mañanas 8-11:00am; diario,Yes,es fuerte la presión,
15,abril,,,Intermitente,"todos los dias, hay agua durante el dia hasta las 8pm.",diario,,,,7,12,~12/7,84,todo el dia hasta las 8pm,todo el dia hasta las 8pm,Yes,,
16,"marzo, abril",,,Intermitente,,diario,,,,7,~5,~5/7??,~35,todos los dias de mañana hasta 11:30 am.,todos los dias de mañana hasta 11:30 am.,Yes,,
17,semana santa,,,Intermitente,,1 a 3 dias a la semana,,,,3,3,3-Mar,9,3 veces x semana. en las mañanas por 3 hrs,3 veces x semana. en las mañanas por 3 hrs,Yes,durante las mañanas,
18,"junio, julio",,,Intermitente,,diario,,,,7,3-Feb,2/3/2007,17.5,"temprano 6am a 8am, a veces 8am a 11am","temprano 6am a 8am, a veces 8am a 11am",Yes,de la calle llenan cisterna. Hay una bomba automatica. siempre tiene xq cisterna. meses escasez no tiene agua en cisterna.,
19,"semana santa, marzo, abril",seguido,,Intermitente,,diario,,,,2,4,2-Apr,8,"2 veces a la semana, 4 hrs x dia. varía","2 veces a la semana, 4 hrs x dia. varía",No,"lavar. mañana más presión, 10-11 am(?) baja y se va agua. Levanta temprano para hacer cosas.",
20,semana santa,,,Intermitente,,diario,,,,7,6,7-Jun,42,"diario, de 6am-12pm","diario, de 6am-12pm",No,llega a la planta baja pero en el piso 2 ya no me llega y hasta las 10am ya no llega.,
21,"marzo, abril",,,Intermitente,"2 a la semana, 3 hrs x dia. mañana 8am-11am",diario,8am-11am,,,7,3,3/7??,21,diario; 8am-11am,2 a la semana; diario; 8am-11am,Yes,,preg 3
22,"semana santa, abril",,,Intermitente,1 x semana -- 6 hrs,diario,8am a 1pm,,,7,6-May,5/7??,35,,"diario: 8am -1pm
Intermitente: 1 x semana--6hrs",Yes,,preg 3
23,"feb, abril, julio",,,Intermitente,,1 a 3 dias a la semana,,,,3,2,3-Feb,6,"3 veces a la semana, 9 a 11am","3 veces a la semana, 9 a 11am",No,cae poquita agua,
24,semana santa,,,Intermitente,"3 veces a la semana, de 7am-12pm",diario,,,,7,5,5/7?,35,diario de 7am a 12pm,3 veces a la sem; diario de 7am a 12pm,No,no est tanta presión para que suba y llene el tinaco,preg 3
25,"agosto, septiembre",,,Intermitente,2 veces x semana/8am-10am,diario,,,,7,3-Feb,3/7??,21,diario de 8am a 11am,diario de 8am a 11am; 2 veces x sem 8-10,Yes,,preg 3
26,abril,,,Intermitente,"diario en las mañanas gotea, solo algunas horas",diario,,,,7,3-Feb,2/3/2007,17.5,"3 veces a la semana, en las mañanas 2 o 3 hrs al dia","diario; en las mañanas gotea; 3 veces a la semana, en las mañanas 2 o 3 hrs al dia",Yes,,preg 4 y preg 5
27,semana santa,,,Intermitente,7am-12pm cada tercer dia,diario,,,,7,5,5/7??,,"diario, la de la llave solo de 7am-1pm. la de cisterna y tinacos todo el dia","cada tercer dia; diario, la de la llave solo de 7am-1pm. la de cisterna y tinacos todo el dia?",Yes,,preg 5 (dos tuberias)
28,N/A,no escasea en el año,,N/A,?,diario,,,,7,4-Mar,3/4/2007,24.5,diario de 8am-11 o 12pm,diario de 8am-11 o 12pm,Yes,,
29,"época seca, mayo, julio",,,Intermitente,es Intermitente/ recibe agua los 7 dias a la semana alrededor de 4 hrs al dia,diario,,,,7,4,7-Apr,28,"todos los dias, 4 hrs al dia","todos los dias, 4 hrs al dia",Yes,,
30,"marzo, abril",,,Intermitente,,diario,,,,7,5-Apr,4/5/2007,31.5,todos los dias solo alrededor de 4 o 5 hrs,todos los dias solo alrededor de 4 o 5 hrs,No,"no, se acaba. llega muy poca y sucia",
31,"junio, julio",que es cuando se pide pipa,,Intermitente,,diario,,,,7,3,7-Mar,21,"llega a las 8 am, se a 11 am","llega a las 8 am, se a 11 am",Yes,,
32,"abril, mayo",,,Intermitente,hay todos los dias. desde las 8 de la mañana a la 2 de la tarde,diario,,,,7,6-Apr,4/6/2007,35,llega diario. pero solo de 4-6 hrs al dia.,llega diario. pero solo de 4-6 hrs al dia.,No,sale muy poca agua. y se tienen que esperar su turno para llenar los tambos y el tinaco.,
33,abril,hay menos agua,,Intermitente,"solo hay agua en las mañanas, como de 7am-12pm",4 a 6 dias a la semana,,,,"5, 6, 7",5-Apr,4-5/5-7??,27,por temporadas cae diario y cae toda la noche. y por temporadas solo entre 4-5 hrs en la manãna por 5-6 dias,por temporadas cae diario y cae toda la noche. y por temporadas solo entre 4-5 hrs en la manãna por 5-6 dias,Yes,,preg 5-3
34,"semana santa, abril",,,Intermitente,"cada 4 dias, 1 vez x semana",diario,,,,7,3-Feb,2/3/2007,17.5,10am-12 o 1pm,"cada 4 dias, 1 vez x semana; diario; 10am-12 o 1pm",Yes,,
35,semana santa,deja de llegar por 7 dias,,Intermitente,normal% diario,diario,,,,7,4,7-Apr,28,8am-12pm,diario; 8am-12pm,Yes,,
36,abril,,,Intermitente,1 vez a la semana . 3 hrs?,diario,,,,7,2.5,2.5/7,17.5,"diario, 3 hrs y medio. 9:30 a 12pm","1 vez a la semana. 3 hrs; diario, 3 hrs y medio. 9:30 a 12pm",Yes,regular,
37,arreglos/mantenimiento,cuando arreglan tuberia--1 o 2 al año,,Intermitente,"8am-12, hasta 3 semanas, este año 1 sin agua",diario,,,,7,4,7-Apr,28,8am-12pm,diario; 8am-12pm,Yes,,
38,"primavera, marzo, junio",,,Intermitente,se va 1 o 2 dias al mes,diario,,,,7,4,7-Apr,28,8am-12pm,diario; 8am-12pm,Yes,,
39,"semana santa, agosto",,,Intermitente,2 dias a la semana de 8am-11am,1 a 3 dias a la semana,,,,2,3,2-Mar,6,"2 dias a la semana, de 8-11am","2 dias a la semana, de 8-11am",No,cae un chorro,
40,"enero, diciembre",,,Intermitente,,diario,,,,7,4,7-Apr,28,"diario, 8am-12pm","diario, 8am-12pm",Yes,,
41,"abril, mayo",,,Continua,,N/A ,(diario xq es continua),,,7,24,24/7,168,24/7,24/7 continua,Yes,"agua sucia, se da cuenta xq ropa blanca queda sucia. Percudido (necesidades)",
42,arreglos/mantenimiento,cortan solo x mantenimiento cisterna limpieza -->no siempre,,Continua,,diario,,,,7,24,24/7,168,,continua,Yes,,
43,"primavera, verano, abril, junio",mas fuerte,,N/A,"no se va por completa, pero cae poquito, baja la presión. (continua) A veces no se pueden bañar ni lavar ropa. Al 3er piso ya no sube. Vive en el 2do aveces tiene que bajar c/cubeta.",diario,"sube la presión en la noche, baja durante el dia",,,7,24,24/7,168,,"diario ;no se va por completo, pero cae poquito, baja la presión",Yes,,
44,N/A,"todo el año igual--cuando cortaron a todos, fue algo quizas una fuga",,continua,"en la mañana cae poca, quizas. le permite hacer todo. 2 primeros pisos les llega bien",diario,,,,7,24,24/7,168,,continua,Yes,,
45,"época de calor, abril, mayo, septiembre, octubre",sept y oct caía muy poca. en epoca de calor cae hasta una vez a la semana abril-mayo,,Intermitente,solo hay agua de 8am a 11am 2 o 3 veces a la semana,diario,,,,"2, 3",3,3/2/2003,7.5,solo 3 hrs de 2-3 veces a la sem,solo 3 hrs de 2-3 veces a la sem,Yes,,
46,semana santa,identifica la falta de agua en semana santa por cortes,,Intermitente,8-9 hrs de agua de 3 a 4 dias a la sem,4 a 6 dias a la semana,,,,"3, 4",9-Aug,8-9/3-4,29.75,"lunes, miercoles, y viernes llega agua por 8 hrs","lunes, miercoles, y viernes llega agua por 8 hrs",Yes,ponen un trapo para filtrar el agua de la toma principal,
47,N/A,no escasea,,continua,siempre es continua,diario,a veces baja la presión. No llega tan fuerte primer piso,,,7,24,24/7,168,"diario, a todas horas","continua, diario a todas horas",Yes,"pero hay pocas veces que no hay presión. 2 o 3 veces en 2 meses. aprox. casi no pasa, dice",
48,N/A,por regular no,,continua,,diario,,,,7,24,24/7,168,diario,continua; diario,Yes,,
49,N/A,no escasea,,continua,,diario,,,,7,24,24/7,168,,continua,No,de repente llega con poca presión. 1 o 2 veces x semana,
50,N/A,a finales de año paso. no tienen agua cuando pasa eso,,continua,,diario,,,,7,24,24/7,168,diario,continua,Yes,,
51,N/A,no,,continua,a veces tiene poca presión,diario,,,,7,24,24/7,168,"diairo, 24/7","diario, 24/7",Yes,"de 2 meses para aca si, antes de eso no habia buena presion",
52,"marzo, abril",,,Intermitente,,diario,,,,7,10,7-Oct,70,todos los dias de las 8am-6pm.,todos los dias de las 8am-6pm.,Yes,filtro casero,
53,"primavera, marzo, abril, mayo","primavera--variable--finales marzo, abril, mayo",,Intermitente,,diario,,,,7,3,7-Mar,21,usual% mañanas. varía. 8am-11am. // en oct-sept--> les faltó--> estaban arreglando,diario; usual% mañanas. varía. 8am-11am. /,Yes,moderada,
54,julio,hicieron un corte (15 dias). estaban arreglando tuberia. casi nunca les falta. solo si hay cortes. ,,Intermitente,,diario,,,,7,6,7-Jun,42,6am-12pm. todos los dias,6am-12pm. todos los dias,Yes,,
55,"marzo, abril",,,Intermitente,,1 a 3 dias a la semana,,,,"2, 3",?,?7/2-3,17.5,"muy inestable, cada 3er dia. mañana, 7am-1pm. noche 11pm~a veces no se dan cuenta si llega. si no abren llave no se enteran que llega",,Yes,,preg 5
56,"septiembre, diciembre",dic y sept--se rompen tuberias x tamblores,,Intermitente,,diario,,,,7,14.5,14.5/7,101.5,"9am a 11:30 pm --> dejan abierta temprano en la mañana. la usan directo de llave--> tinaco--> lavadero--> se va por drenaje, queda abierta en lavadero por que ahí escuchan ven que llega} viene sucio y luego ya la pone en tambo y tinaco",9am a 11:30 pm,N/A,"varía, a veces cae poco",
57,"época de calor, mayo",cuando hace calor. mayo,,Intermitente,,diario,,,,7,4,7-Apr,28,"mes pasado, llego un par de veces x semana",8am-12pm; diario,Yes,,
58,abril,,,Intermitente,,diario,,,,7,5,7-May,35,7am-12pm--todos los dias,7am-12pm--todos los dias,Yes,,
59,semana santa,"nunca les falta. solo tamblos--> 1 mes, 2017--> cisterna les abasteció. semana santa, cuando desperdician agua son vacaciones ponen albercas en calle",,Intermitente,,diario,,,,7,4-Mar,3/4/2007,24.5,"3-4 hrs todos dias. Llave esta abierta, llena automatico tinaco y cisterna. Automatico se cierra",3-4 hrs todos dias,Yes,,
60,"semana santa, marzo, abril","marzo-abril, semana santa. diario, x menos tiempo",,Intermitente,,diario,,,,7,8-8.5,8-8.5/7,57.75,7:30~8am hasta 4pm,7:30~8am hasta 4pm,Yes,,
61,"época de calor, abril, mayo",calor. la reducen. abril-mayo,,Intermitente,,diario,,,,7,4,7-Apr,28,8am-12pm,8am-12pm; diario,Yes,,
62,"semana santa, abril",abril x sem santa avisan,,Intermitente,,diario,,,,7,6,7-Jun,42,todos los dias (6:00-12:00),todos los dias (6:00-12:00),Yes,se debe realizar antes de las 12:00,
63,"abril, arreglos/mantenimiento",abril x servicios de mantenimiento. les avisa,,Intermitente,,diario,,,,7,5,7-May,35,diario 7:00-12:00,diario 7:00-12:00,Yes,,
64,"abril, arreglos/mantenimiento","abril, por mantenimiento. aveces les avisan, otras no",,Intermitente,,diario,,,,7,?,7-Apr,,diario por la mañana,diario por la mañana,Yes,,
65,"abril, mayo",porque barias dias no llego,,Intermitente,,4 a 6 dias a la semana,,,,"4, 5, 6",3,3/4/2006,15,dias variados (no constante) 3 hrs (8-11am),dias variados (no constante) 3 hrs (8-11am),No,porque no tiene mucha presión o llego muy sucia / calor cafe o amarilla olor feo,
66,"época de calor, mayo",rompiarento tuberia ?,,Intermitente,,diario,,,,7,6,7-Jun,42,"diario, en las mañanas (5am-11am)","diario, en las mañanas (5am-11am)",Yes,,
67,abril,,,Intermitente,,diario,,,,7,7-Jun,7-Jun,42,todos los dias de 6am-11am y de 6pm-7pm,todos los dias de 6am-11am y de 6pm-7pm,Yes,,
68,"marzo, abril, mayo",marzo-mayo,,Intermitente,,diario,,,,7,3,7-Mar,21,"diario, de 8am-11am","diario, de 8am-11am",Yes,,
69,"julio, agosto, septiembre, octubre, noviembre, diciembre",julio-diciembre,,Intermitente,,1 a 3 dias a la semana,,,,4,24,24/4?,48,"miercoles a sabado las 24 hrs del dia, despues de ello durante 2 semanas no hay agua.","miercoles a sabado las 24 hrs del dia, despues de ello durante 2 semanas no hay agua.",Yes,,"24x4=96 hrs | 96x2=192 | 192/4=48 hrs per wk (4 wks total, 2 wks w/o water)"
70,junio,,,N/A,,1 a 3 dias a la semana,,,,2,2.5,2.5/2,5,"cae cada tercer dia, de 8-10:30 am.","cae cada tercer dia, de 8-10:30 am.",Yes,,
71,N/A,"no escasea, la ultima vez fue en el temblar del 2017, la quitaron x una semana.",,Continua,,diario,,,,7,24,24/7,168,diario 24/7,diario 24/7,Yes,,
72,N/A,no escasea siempre hay,,Continua,,diario,,,,7,24,24/7,168,24/7,24/7,Yes,,
73,"feb, marzo",feb-mar--cae menos,,Intermitente,,diario,,,,7,5,7-May,35,8 a 1 --> 5 hrs,8 a 1 --> 5 hrs; diario,Yes,,
74,N/A,regular cuando hacen reparaciones. siempre les avisan antes. todo el año misma agua,,Intermitente,,diario,,,,7,4,7-Apr,28,8am-12pm--no cambia,8am-12pm--no cambia; diario,Yes,pot la cisterna. sacan agua de ahí,
75,"época de calor, mayo, junio",,,Intermitente,,N/A,,,,N/A,?,?,N/A,hace 4 dias que no cae. o no es predecible la hora,hace 4 dias que no cae. o no es predecible la hora,N/A,"cuando empieza a caer no. 3er dia ya sube sola. si no, tienen bomba",no es predecible la hora
76,marzo,"marzo, deja de haver (viernes en la noche hasta el dgo). usual% siempre hay agua",,Continua,,diario,,,,7,24,24/7,168,,continua diario,Yes,no es necesario el usa de la bomba para subir agua,
77,"época de calor, época seca, marzo","casi lo mismo todo el año. marzo, cuando hay calor y sequía. // tarda en llenarse pileta menos presión",,Intermitente,,diario,,,,7,24,24/7,168,siempre,siempre,Yes,sube sola,
78,N/A,no hay un mes especifico porque tienen cisterna y no se percibe.,,Continua,,diario,,,,7,24,24/7,168,,24/7,Yes,debido a cisterna,
79,N/A,"ninguno--pero hay poca presión. plaza comercial (3,4 años)",,Continua,,diario,,,,7,24,24/7,168,24/7,24/7,No,solo por las mañanas o en las noches (7:00-9:00) (22:00-23:00) hay mejor presión,
80,N/A,igual. A veces anuncian q no habrá agua--no les ha tocado un corte,,Continua,,diario,,,,7,24,24/7,168,todo el dia. llega agua--se llena una pileta--> siempre ha estado--> tuberia-->tinaco-->llaves,todo el dia. diario,Yes,,
81,arreglos/mantenimiento,solo cuando hacen arreglos--bomba-unidad//,,continua,si flata no se dan cuenta,diario,,,,7,24,24/7,168,24/7,,Yes,no llega con tanta presión,
82,"semana santa, abril",abril--celebración semana santa-> gente guarda cubetas y juegan igual--> avisan que la van a quitar un par de dias en esa semana,,Intermitente,2-3 dias (sem sta),diario,,,,7,24,24/7,168,todo el dia,constante (check Intermitente),Yes,constante,
83,"abril, mayo",,,continua,"diario, baja la presión--> no afecta que hace diario",diario,,,,7,24,24/7,168,todo el dia,continua,Yes,,
84,"primavera, verano, semana santa, julio",primavera-verano//semana santa y julio. a veces les cortan o sigue cayendo,,Intermitente,"9-11am, luego durante la tarde llega menos, en la noche ya no cae",diario,,,,7,24,24/7 ,168,24/7 (preg 4: diario),,No,"baja presión, casi no se puede usar regadera, siempre
hay 2 tinacos en primer piso-->sube--> llave agua 2do piso--> falta 
baja--> planta baja // para otras cosas esta bien",
85,N/A,no. nunca había faltado (-->un año y medio). estaba condonada. cuando cambiaron tubos y ahí empezó a faltar. (adaptación),,Intermitente,llave--> pilancón--> tinaco--> llaves,4 a 6 dias a la semana,,,,6,24,24/6,144,miércoles no cae. otros dias todo el dia,miércoles no cae. otros dias todo el dia,Yes,,
86,"semana santa, marzo, abril",,,continua,varía la presión,diario,,,,7,24,24/7,168,24/7 pero varia la presión. En la noche hay más presión. Como al medio dia hay menos presión porqye es el horario en donde se red(?) más (?).,varia la presión,Yes,,
87,"semana santa, marzo","usual% siempre hay reduccion en este mes por dia santa, a veces cortan(?) otras no.",,Intermitente,2-3 veces por sem (6-9am) siempre a sido asi,1 a 3 dias a la semana,,,,3,3,3-Mar,9,"lunes, martes y viernes de 6-9 am. Fuera de este horario cae a gota.","lunes, martes y viernes de 6-9 am. Fuera de este horario cae a gota.",Yes,pero debe aprovechar temprano,
88,agosto,"viven en una unidad y les obastece (?) una cisterna, en este mes hubo un problema con ella y se quedaron sin agua x +- 1 mes",,continua,,diario,,,,7,24,24/7,168,24/7,,No,"a veces la presión es muy baja, en la tarde, por las mañanas hay mayor presión. En la tarde es muy poco (chorrito).",
89,"feb, arreglos/mantenimiento","febrero, estaban arreglando una tuberia y bajó la presión, pero nunca hubo interrupción en el suministro",,continua,,diario,,,,7,24,24/7,168,24/7,preg 5 24/7,Yes,,
90,septiembre,sep llego a no haber suministro y se tuvo que llamar (?) una pipa,,continua,en las noches la llegan a quitar,diario,,,,7,24,24/7 ,168,24/7 ,24/7,Yes,necesitan una bomba para subir el agua al tercer nivel con donde vive,
91,marzo,"marzo, en manana cae, pero en la tarde ya no",,continua,varia la presión,diario,igual hay variacion en la presión,,,7,24,24/7,168,24/7 pero hay variación en la presión,variación en la presión,No,"llega en la mañana con mayor presión, a las 10:00 ya no hay buena presión. En la tarde hay (muy poca), pero no deja de haber.",
92,N/A,"no recuerda, pero si hubo alguna epoca donde bajo la presion pero no dejo de haber",,continua,,diario,,,,7,24,24/7,168,24/7 continua la misma presión todo los dias a toda hora,preg 5,Yes,,
93,"feb, marzo, arreglos/mantenimiento","feb-marzo porque arreglaron tuberias, les avisan. Tratan de no lavar ropa en esos dias. tardarse mucho tiempo al bañarse (?)",,continua,,diario,,,,7,24,24/7,168,24/7 en la noche puede ser que haya menos presión. En la mañana es cuando hay más presión,preg 5,Yes,,
94,abril,abril--baja un poco. sigue llegando. llega menos,,continua,tienen pileta. siempre que abre sale agua. tb va directo al baño. desde la toma,diario,,,,7,24,24/7,168,24/7,preg 5,Yes,,
95,marzo,marzo--llego a la toma que estaba más cerca al pozo y era muy poca,,Intermitente,hay veces que llega y otros no. incluso llego a haber un año en donde no hubo nada de agua,diario,,,,7,confirm,?/7,N/A,"check preg 3, 4, y 5. diario pero no dice horas","check preg 3, 4, y 5. diario pero no dice horas",No,porque si algun otro familiar abre otro toma de agua d servicio se interrumpe,"solo dice diario, no hrs"
96,"feb, marzo",,,N/A,se les va x 3 hrs (xq lava o hace de comer o bañarse) el dia ~ no es predecible. perciben que falta. tienen tinaco y cisterna,diario,,,,7,24,24/7,168,24/7 ,,Yes,cuando se va hay baja presión--> agua sube c/bombas,
97,N/A,normal% noche llega más--> llenan todo //siempre igual,,continua,,diario,,,,7,24,24/7,168,24/7 continua diairo,24/7 continua diairo,Yes,,
98,N/A,"fds llega poca, o domingos no llega. mitad q comparado c/otros años. antes sucia con poca presion, ya no (adaptacion)",,continua,nunca les falta. pero disminuye. cae muy poquita,diario,,,,7,24,24/6 + 16/1?,160,"24/7, excepto dgo-por un par de horas. A veces mañana Yes, noche no. o al reves","24/7, excepto dgo-por un par de horas. A veces mañana Yes, noche no. o al reves",No,"A raíz de mucho const(?)--condominios c/cisterna quitan mucha agua. A veces(-->directo toma principal) no. 5 dias, 3 bien y 2 cae chorrito. Hay que empezar agua se llena de mucho para enjuagar. O no se llena y hay que hacerlo manual.",24x6 + 16x1=160
99,época de calor,"en epoca de calor, les avisan. Ella almacena agua en la cisterna",,Intermitente,hay dias en las que llega por la manana (11:00-18:00). no hay antes de las 11 hay. despues de las 18 hay,N/A,diario,,,7,17,17/7,119,diario 18:00-11:00 (see preg 3 too),diario 18:00-11:00 (see preg 3 too),Yes,,
100,agosto,,,continua,poca pero siempre llega. tarde 2-3 pm--> disminuye // noche --> normal. saver q siempre hay xq están chequeando,diario,,,,7,24,24/7,168,24/7,preg 3 y 5 ,Yes,"cuando baja, no puede lavar ropa, bañarse",
101,semana santa,semana santa (reducen la presión del agua) Yes les avisan,,Intermitente,en la tarde como de 14:0-18:00. De repente se va el agua pero no hay un horario fijo en donde haya o no,diario,pero a rotes,,,7,~20,~20/7,140,+- Diario 20 horas en un dia si hay agua y otro no,preg 5:+- Diario 20 horas en un dia si hay agua y otro no (ver preg 3 y 4 tb),No,"porque no es suficiente para realizar las actividades cotidianas, es muy poca.",
102,"marzo, abril",marzo-abril (llego 1-2 veces a la semana). No supieron porque. Lo reportan pero no hicieron cosa.,,continua,"a excepcion de marzo-abril que no llego, despues de esos meses ha llegado de manera continua",diario,lo que varia es la presión. hay mas en la noche,,,7,24,24/7,168,"lunes, miercoles, y jueves hay mayor presión. Los otros dias es menos la presión (todos los dias hubo)","continua; lunes, miercoles, y jueves hay mayor presión. Los otros dias es menos la presión (todos los dias hubo)",Yes,casi no estan en casa porque son comerciantes,
103,agosto,"ago, reduccion flojo, viven en una casa de dos pisos y si suben en cmbo pisos solo en una colg agua",,continua,,diario,,,,7,24,24/7,168,24/7,,Yes,pero hay que hacer una actividad a la vez porqye se llega a reducir el flojo si se hacen dos,
104,"abril, mayo",abril-mayo-bajo la presión. desconoce(?),,continua,,diario,,,,7,24,24/7,168,24/7,,Yes,,
105,"semana santa, abril",abril (sem santa)--bajan la presión. no les avisan,,continua,cisterna todos los condominios tienen cisterna,diario,,,,7,24,24/7,168,24/7,,Yes,usted vive en el 3er piso y si alguien de abajo realiza alguna actividad que involucra agua no puede hacer cosa (no simultaneo),
106,"semana santa, abril",abril--les cortan el agua en semana santa,,continua,,diario,,,,7,24,24/7,168,diario pero llega con poca presion,continua; diario pero llega con poca presion,Yes,usa calcetines en la llave,
107,noviembre,nov--falta más el agua,,Intermitente,1 o 2 dias a la sem no tienen agua. 5 dias a la sem Yes hay pero con poca presión.,4 a 6 dias a la semana,,,,5,24,24/5,120,"5 dias hay agua, todo el dia con baja presión","5 dias hay agua, todo el dia con baja presión",No,en las mañanas--tardes hay muy poca presión no pueden hacer nada. Lo dejan para la noche que hay mayor presión.,
108,"semana santa, marzo, abril, mayo, junio",marzo-abril. En semana santa les cortan el agua hasta un mes. Mayo-junio. Baja el suministro,,Intermitente,al dia solo cae en la noche con más presión. Aproximadamente 3/4 horas al dia. Hay dias en que no cae. En la ult semana no hubo agua 2 dias,4 a 6 dias a la semana,,,,"5, 6",4-Mar,3-4/5-6,19.25,3/4 horas al dia 5/6 dias a la semana,3/4 horas al dia 5/6 dias a la semana,Yes,,
109,"verano, semana santa, marzo",,,Intermitente,"c/2 o 3 dias--> 2 o 3 hrs x dia, usual% en la madrugada--> esta despierta",4 a 6 dias a la semana,cada 2 dias (so probably 3-4 days),,,"3, 4",5-Feb,3-4/4-5 ?,15.75,"cada 2 dias, 4-5 horas x dia-- 5am-9am","preg 3: c/2 o 3 dias --> 2 o 3 horas x dia, usual% en la madrugada
preg 5: cada 2 dias, 4-5 horas x dia-- 5am-9am",Yes,,
