ID,MX16_SCEN_01,MX16_SCEN_03,MX16_SCEN_05,MX16_SCEN_99,MX16_SCEN_INFO
18,1,4,4,2,Porque a veces les falta. Muchos no tienen cisterna y no es suficiente
20,1,2,3,2,
22,1,3,4,3,
119,1,2,4,1,"Si. Porque cuando se bañan, lo hacen enseñe rápido para que alcance. "
24,1,3,4,2,Semana Santa se tiene que planear mas el uso del agua
121,1,3,3,4,"Porque no me quedo sin agua, aunque disminuye la continidad."
123,1,4,4,2,
26,2,3,3,2,
125,1,1,2,3,
28,3,3,4,4,
30,1,2,4,2,
127,1,2,3,4,María-porque si tiene donde almacenar 1-> alcanza
129,1,1,2,4,
131,1,1,3,3,
133,1,1,2,3,
135,1,2,3,2,
137,1,1,2,2,
139,1,2,2,2,
141,1,1,2,3,Por la calidad. Me hace ruido porque si tiene agua casi siempre!
143,1,3,4,4,
145,1,3,4,3,
147,1,3,4,4,
149,1,2,4,3,"Participante-casi suficiente--mejor para ahorrar
Le de rabia ver gente con manguera por alu, o regadora"
32,3,2,4,1,"No esta directamenta, relacionada con las actividades del hogar. No esta segura sobre lo sufficiente del agua. "
151,1,2,2,1,Tinaco 400 Lt
153,1,1,4,4,
155,1,2,3,3,
157,3,4,4,4,Lo convencí un poco s:
159,2,4,4,2,
34,1,2,4,3,
161,1,2,3,4,El 4 siempre y cuando no pase o sucede alguna falta
163,1,2,3,4,
165,1,2,3,4,
167,1,2,4,3,
36,1,2,4,4,Se gasta mas hi hay mas
169,1,3,4,2,"Dice que solo tiene agua 3 días a la semana, pero no interfiere en su vida ni actividades. Pero tiene cisterna"
38,2,2,4,3,
171,1,3,4,2,
40,1,2,3,2,
173,3,4,4,3,Depende cuántas personas viven en cada casa
175,2,4,4,3,
42,1,2,3,4,
177,2,3,4,3,Paola-tres días es muy poquito
44,1,3,3,4,
179,1,2,4,4,
181,3,4,4,3,
46,1,2,3,2,
183,1,2,4,4,
48,1,1,1,2,
50,3,4,4,4,
185,2,4,4,4,"María--si tiene en donde almacena
Participante--porque tienen cisterna"
52,1,2,3,3,
54,1,2,2,3,
56,1,2,4,1,No en el tiempo de 9 o 12
187,1,2,4,2,
58,1,3,4,2,
189,1,2,4,3,Participante --Días en que no alcanzan a llenar botes
60,1,2,4,4,
191,1,3,4,4,"Participante--Sí es suficiente porque tiene cisterna. Si no tuviera, no sería suficiente"
193,1,1,2,3,Participante-en temporada de calor no es suficiente
195,1,2,4,3,
197,1,4,4,4,
199,1,3,4,4,
201,1,2,2,1,
203,1,3,4,3,
303,1,2,4,4,
305,1,3,4,4,
307,1,2,4,2,
309,1,4,4,2,
313,1,2,4,4,
311,2,4,4,2,"Paola--si tiene donde almacenar
Intenta administrarla. Tiene almacencimiento"
315,2,2,3,4,Participante--cuando tienen tienen todo el dia
317,1,3,4,2,
62,1,3,4,3,
64,1,3,4,3,
66,1,2,4,2,
68,1,2,4,2,
70,1,3,4,3,
72,1,1,2,4,
319,2,3,4,3,"Maria--contemporanda cisterna, tinaco
Participante--intenan economizar, lavar 1 dia a semana, banarse --cierran llave para lo tirar. Les cae diario"
74,1,2,4,4,
76,3,3,4,4,
321,1,2,4,3,"Participante--por que tienen que lavar muchos y a veces se vacia lo que almacenan, o tienen que lavar primero y luego dejar lleno."
78,1,2,2,3,
323,3,4,3,2,
325,1,4,4,1,
327,3,4,4,3,Participante--aqui en esta colonia hay mucha encesez. En su otra casa hay cisterna. Presicion muy baja
80,1,2,3,4,Pileta lavan 1 vez al mes tinaco--> nunca
329,2,3,4,3,"Participante--no abarca las necesidades lo que tienen ahora. Alcanza limitado. 1 dia regar otra no, para que alcance"
331,1,2,3,4,
333,1,4,4,Otro,No hay repuesta por participante secion pero hay eso: no recibe agua del suministro publico. De la pipa no es suficiente
335,2,4,4,3,"Participante--By c mejor que s--les alcanza para lo indispensable (no lavar corro, patio)"
82,1,4,4,4,Casi no hay H20 en garrafon. Embarazada y diabetico. 2 garradon al dia y cuando llega ya no hay. Asi que ella compar refresco. Liquido total dice que seria 3 literos o menos
337,1,2,3,4,
84,1,2,3,2,
339,1,2,3,4,
341,1,3,4,2,
86,1,2,2,2,
88,1,2,3,3,
90,1,3,2,4,
92,1,2,4,4,
343,1,3,4,1,"No les alcanza, no banarse seria incomodo"
94,2,2,4,4,
345,1,2,3,1,
96,1,2,4,4,"Maria: Si fuera solo una, seria 2 "
98,1,4,4,4,
100,2,3,4,4,
102,1,2,4,3,
104,1,2,3,4,
347,1,3,4,1,Es un poco confundido si el primero repuesta es un 1 o un 3 pero creo que es un 1
106,1,2,3,2,
349,1,2,4,2,
351,1,3,4,2,Ahorita (participante)
108,2,2,4,2,
110,1,3,4,2,
112,1,1,4,4,
353,1,2,4,4,"Considero que es suficiente porque cae todo el tiempo, aunque sea poco pero podemos almacenar"
355,1,3,4,4,
114,1,1,2,4,
116,1,2,4,3,
118,1,2,3,4,
357,1,3,4,4,Hija con dio
359,1,2,4,4,
120,2,4,4,2,
122,Otro,Otro,Otro,Otro,N/a para todos
361,1,2,4,4,En abril--1 no es suficiente
124,1,3,3,4,
363,1,2,3,2,
365,1,3,4,4,
126,1,2,2,4,
128,1,3,3,1,
367,1,3,4,4,"A veces llenan una tinaco para lavar manos, ect--bano de afuera"
369,2,2,3,2,
130,2,1,3,4,
371,1,2,4,2,"No se trata de ser conformistra, pero se aprende a vivir sin agua. Hay comunidades donde no hay "
373,1,3,4,4,
375,2,4,4,4,No les ha faltado
132,1,1,2,3,
377,3,4,4,4,"Asumiendo que tienen cisterna, como ella"
134,1,2,4,4,
136,1,2,3,4,
381,1,4,4,2,
383,1,2,2,4,
385,4,4,4,2,
387,1,2,2,1,
138,1,3,4,3,Participante: Porque les cae agua todos los dias
389,1,3,4,2,
391,1,3,4,1,
393,1,2,4,2,
395,1,3,4,4,
397,1,2,3,4,"Abre agua de llave y no sale agua precion baja, cae poquita"
399,1,2,4,2,
401,1,3,4,2,
403,1,1,3,3,Deberia llegar todo al dia
405,1,2,4,2,
140,1,2,3,4,Baja presion
142,2,3,4,2,
144,1,3,4,3,
407,1,2,2,3,"Dependiendo, si tiene 1 tinaco--hace suficiente 1 dia. Si tuviera cisterna seria diferente"
146,1,2,3,4,
409,1,2,3,4,Nunca quedan sin agua
148,1,3,4,4,
411,1,2,4,2,
413,1,2,4,4,
415,1,3,4,2,
417,1,2,3,3,
419,1,2,2,4,Ellos no gastan mucha agua
150,1,4,4,4,"Para ella si, en 2 horas acabe el que hacer. Fuera de no necesita agua. "
421,1,3,4,2,Situado b e. por que ellos--a ellos les cae todo el dia
152,1,2,3,1,No puede hacer cosas. Es peor que Paola  x muy poca
154,1,2,4,4,
423,1,2,4,2,
425,1,2,4,3,Si quede entenada se apunta el agua
427,1,4,4,4,
429,1,3,4,4,
431,1,4,4,1,
433,1,2,3,4,"Ahora que cae, si es suficiente"
435,1,2,4,4,Porque tiene diario
437,2,4,4,3,Peor que Paola porque les cae con poca presión
439,1,2,3,3,Porque presión no es buena. Se tardan 4
441,1,3,4,3,
443,1,1,3,4,Casi no les falta
445,1,2,4,2,Normal tb
447,1,3,4,1,
449,1,2,4,4,
451,1,2,3,4,"Maria-para 11 no.
Familia de esposo--chalco--les cae 1 vez a la semana
Vecinas los finde--se ponen a lavar--se encuele que se enciende mucho alla bomba"
453,1,2,3,3,"Disminuye patencia, y como son muchas personas a se hace poco"
455,3,4,4,4,"Maria--llenado tinacos 
Participante--normalmente, cuando cae poco seria 2. 
Con manifestas notaran que por eso notarian agua--que les faltaba a mucha gente. Vieron en noticias cierre de periferico--es canal de Chalco, pipa priuda sacaban agua de ahi tengo de huelga cayo el agua"
457,2,3,4,3,
459,1,2,4,4,Unidad--dificil de medir
461,1,2,3,4,"2 personas, 1 cisterna"
463,1,3,4,3,No es suficiente por completo para ella porque muchos viven en casa y no alcanza.
465,1,4,4,4,
467,1,4,4,4,
469,1,2,4,3,
471,1,3,4,2,Paola--apanando es casi. Porque ella ya se esta acostumbrado y no gastar mucho
473,4,3,3,3,
475,1,3,2,4,
477,2,4,4,4,
479,1,1,3,2,
481,1,2,4,2,"Paola--ya estaria bien
Personas en vecindad--si la malgastan. //Depende de como la usan"
483,1,2,3,4,Epoca sequía--1
485,1,2,4,2,
487,1,2,3,4,Participante--4 actualmente pero 3 en abril
489,1,2,3,4,"participante--4 actualmente, 3 durante la escasez"
491,2,3,4,4,"Maria--se puede hacer rendir, no todas las personas cuidar al agua igual. A ella 1 tinaco le dare 1 personas. Depende de cisterna cuando se usa"
493,1,1,3,3,"Porque calidad del agua no es buena. Cae constantemente. Les cae con poca presión--no se llena tinaco. Tienen bomba y tienen que encuenderla si no se llena solo.

Originalmente puso 2 pero luego de preguntar porque puso un 3"
495,1,2,4,2,"Luisa--estan acostumbrados a no desperdicias, ahorra. ES parte de su cultura reciclar. Porque no saben cuando van a tener

Lavan-patio, bano"
497,1,2,4,4,"Porque si alcanza si le sabe cuida. 
En abril, cuando les falta seria un 2"
156,1,3,4,3,situación peor a Paloma. Tiene que espera a que llegue.
158,1,3,4,3,"Ahorita si empezo a llegar, pero no suficiente  "
160,1,2,2,4,
162,1,2,3,4,
166,1,2,2,3,
168,1,4,4,4,"en una semana si no mandan, ahi faltar 2 horas x mananas en suficiente "
170,1,3,4,3,
172,1,3,4,2,
174,1,3,4,4,
176,1,2,4,1,
178,1,3,4,2,
180,2,3,3,2,Si va un poco tiempo. Si fuera 1 toma para 1 familia.quizas si funcianaria.
182,1,2,3,1,
184,1,4,4,4,
186,1,3,3,2,
188,1,2,4,2,"Habla un poco golpeado, no medeja terminar las preguntas y esta atendendo el celular "
190,3,4,4,4,Problema en que llega sucia
192,1,1,4,3,
194,1,2,3,2,
196,1,2,4,1,
198,1,3,4,3,
200,1,2,3,2,"Con cisterna, sin la cisterna seria insuficiente "
202,1,4,4,4,By cixg?? le llega todo el dia. No le falta que no den perdición.
301,3,2,3,3,"Todos los dias todo el dia y limpia seria su concepto del ""completamente suficiente"""
